Pos, Facility ID, Facility Name, Lat, Lng, Points
201, 11eec0b1afaa6bf05e6d9245f4c60ce4,Okanagan Training Rink,50.2533,-119.2798,20
202, 11eec62b03459810023392bba64f97a4,Kapuskasing sports palace,49.4134,-82.4203,20
203, 11eecba83cfa87a0286260c4873a2187,Ken Williams Southern Shore Arena,47.0073,-52.9589,20
204, 11efcbc1be0a2fc00e21c7f8c26c4aa3,Fort Simpson ,62.4043,-110.7417,20
205, 11efce4bdc59b3b099fa2a567ad3cb1e,Maidstone Arena,54.2836,-109.2415,20
206, 11efcf9029c2fea01539fbe7fd88feaf,Upper Pontiac Sports ComplexJ,45.5234,-76.4392,20
207, 11efcfb594126b4024c9e24f6ed79a60,Nakina Community Complex,50.139,-89.0561,20
208, 11efcfba1d3453d0d6b10f5b24fd3d17,Northern Lights Palace Arena,53.1325,-104.6719,20
209, 11efd62c87b536c09afe23d005d4072b,Savanna Agricultural Society Rec-Plex,56.6598,-117.2896,20
210, 11efdebc30caa6e0bb3c5cdf886ba58b,Noelville Community Centre,46.1719369,-80.4169591,20
211, 11efe62169850810e782afd2a2b5251b,Zurich Community Centre,43.5651,-81.6986,20
212, 11E9F686BBB1692081807B23EA662A63,eastern Kings Sportsplex,46.3537994,-62.2373921,19
213, 11efcfd1cdae6e50800e363a98538b76,Saint Andrews Community Club,50.1483,-96.8756,19
214, 11eeb73381cc29802b6bce5cdba41fa3,Bobcaygeon-Verulam Community Centre,44.438,-78.6828,18
215, 11eebbbb7b8cd6501b4b861b90b26a3f,Tilbury Memorial Arena,42.5323,-81.7991,18
216, 11efcc4fd33abf205d7cbfac73e8aae2,Westlock Rotary Spirit Centre,54.166,-113.8452,18
217, 11efe5b357373fc0f6da43a3ba6f59d5,Nattilik Arena,67.6963,-107.9068,18
218, 11E9F686BB811CD481807B23EA662A63,Aréna Gilles-Bourassa,46.5167919,-72.7553808,17
219, 11E9F686BB97FAEE81807B23EA662A63,Carlisle Community Centre,43.3966832,-79.9813271,17
220, 11E9F686BBBA66D881807B23EA662A63,Glenn Hall Centennial Arena,53.5262784,-114.0132689,17
221, 11E9F686BBE02B3E81807B23EA662A63,Oceanside Place Arena,49.331667,-124.3475211,17
222, 11E9F686BBE5652281807B23EA662A63,Perth & District Community Arena,44.9026353,-76.2482568,17
