Facility, stories, videos, photos, notes, reactions, contributors, points
Saint Andrews Community Club - MB,1,0,3,0,0,1,19
eastern Kings Sportsplex - PE,1,0,3,0,0,2,19
Aréna Macdonald (Cégep John Abbott) - QC,0,0,5,1,2,1,18
Tilbury Memorial Arena - ON,1,0,2,2,0,2,18
Rogers Arena - BC,1,0,2,1,0,2,17
Centre Sportif Mistouk - QC,1,0,2,1,0,3,17
Lloyd Wilson Centennial Arena - ON,1,0,2,0,1,3,17
Ridgevalley Arena - AB,1,0,2,1,0,2,17
Foam Lake Recreation Centre - SK,1,0,2,1,0,1,17
Perth & District Community Arena - ON,1,0,2,1,0,1,17
Marshal Moores Arena - NL,1,0,2,1,0,1,17
Wallaceburg Memorial Arena - ON,1,0,2,1,0,3,17
Carlisle Community Centre - ON,1,0,2,1,0,1,17
Glenn Hall Centennial Arena - AB,1,0,2,1,0,1,17
Eatonia Memorial Arena - SK,1,0,2,0,0,2,16
Aréna Fernand-Asselin - QC,1,0,1,2,1,3,16
Cross Lake Arena - MB,1,0,2,0,0,1,16
Claresholm Arena - AB,1,0,2,0,0,1,16
Alexandra Arena - AB,1,0,2,0,0,1,16
Glovertown Arena - NL,1,0,2,0,0,1,16
Sandy Bay Arena - SK,1,0,2,0,0,1,16
Mnjikaning Arena Sports Ki (MASK) - ON,1,0,2,0,0,1,16
western Financial Group Community Arena (formerly Bow Island Arena) - AB,0,0,5,1,0,1,16
Arena de Valcourt - QC,1,0,2,0,0,1,16
Amherst Stadium - NS,1,0,1,1,1,3,15
Upper Pontiac Sports Complex - QC,1,0,1,1,0,1,14
Daysland Memorial Arena - AB,1,0,1,1,0,1,14
Kindersley West Central Events Centre - SK,1,0,1,1,0,1,14
Kitchener Memorial Auditorium Dom Cardillo Kinsmen & Kiwanis Arenas - ON,1,0,1,1,0,1,14
Aréna Municipal - QC,1,0,1,1,0,1,14
Festival Arena - NB,1,0,1,1,0,2,14
Aréna Réjean Lemelin - QC,1,0,1,1,0,3,14
Burford Community Centre - ON,1,0,1,1,0,1,14
Fort Macleod & District Sports Centre / Outdoor Swimming Pool / Ice Arena - AB,1,0,1,1,0,1,14
Sudbury Arena - ON,1,0,1,1,0,2,14
Southeast Event Centre - MB,1,0,1,1,0,1,14
Atlas Tube Centre - ON,1,0,1,0,0,2,13
Vern Miller Memorial Arena - ON,1,0,1,0,0,1,13
Optimist / George Blundun Arenas - AB,1,0,1,0,0,1,13
Essa Arena - ON,0,0,4,1,0,1,13
Sexsmith Arena - AB,1,0,1,0,0,2,13
Lunenburg Community Centre Arena - NS,1,0,1,0,0,1,13
Sudbury Community Arena - ON,1,0,0,2,1,3,13
Sundre Arena - AB,1,0,1,0,0,1,13
Bay Arena - NL,1,0,1,0,0,1,13
Clearwater Arena - ON,1,0,1,0,0,1,13
Tom Forsyth Memorial Arena - BC,1,0,1,0,0,2,13
Centre sportif sainte-anne des plaines - QC,1,0,1,0,0,1,13
Shelburne County Arena - NS,1,0,0,1,2,2,13
Co-operative Place - SK,0,0,4,1,0,1,13
Fundy Arena - NB,1,0,1,0,0,1,13
Cornwall Civic Complex - ON,1,0,1,0,0,1,13
Aréna Doug-Harvey - QC,1,0,1,0,0,2,13
Kinsmen Community Arenas - AB,1,0,1,0,0,1,13
Essar Centre formerly Steelback Centre - ON,1,0,1,0,0,1,13
Desbarats arena  - ON,1,0,1,0,0,1,13
Deseronto Community Recreation Centre - ON,1,0,1,0,0,1,13
Gaylord Powless Arena - ON,1,0,1,0,0,2,13
Flames Community Arenas - AB,1,0,1,0,0,1,13
Little Britain Arena - ON,1,0,0,2,0,2,12
Seaparc  - BC,1,0,0,2,0,2,12
Berens River First Nation - MB,0,0,4,0,0,1,12
Acton Community Centre - ON,1,0,0,2,0,3,12
Nicola Valley Memorial Arena - BC,1,0,0,2,0,3,12
G3 Iceplex - SK,1,0,0,1,0,1,11
SEAPARC Recreation Centre - BC,1,0,0,1,0,2,11
Aréna Jacques Laperrière - QC,1,0,0,1,0,1,11
Affinity Place - SK,1,0,0,1,0,1,11
Arena Des Iles - NB,1,0,0,1,0,1,11
New Tecumseth Recreation Centre - ON,1,0,0,1,0,1,11
Port Stanley Arena & Community Centre - ON,1,0,0,1,0,1,11
Centre sportif Mégantic - QC,1,0,0,1,0,1,11
Polar Center - NL,1,0,0,0,1,1,11
Cariboo Memorial Complex - BC,1,0,0,1,0,1,11
Aréna Pierre-Creamer - QC,1,0,0,1,0,1,11
Capital News Centre CNC1 - BC,1,0,0,1,0,2,11
Reeves Community Complex - ON,1,0,0,1,0,2,11
Ma-te-way Park - ON,1,0,0,1,0,1,11
Ridgetown Arena - ON,1,0,0,1,0,1,11
Tricenturena Waterford Arena - ON,1,0,0,0,1,1,11
Centre Sportif d'Opitciwan - QC,1,0,0,1,0,1,11
Centre Edmond E. Landry - NB,1,0,0,0,0,1,10
Kugaaruk Airport - NU,1,0,0,0,0,1,10
